Customer_Index,Clusters,Recommended_Products,Similarity_Score
0,0,"Meat, Fruits, Fish",0.7500845751310157
1,3,"Wines, Meat, Gold",0.7917595134118418
2,0,"Meat, Wines, Sweets",0.6741112673856203
3,1,"Wines, Gold, Meat",0.7964989976532689
4,3,Gold,0.1339158155117756
5,2,"Meat, Gold, Fish",0.5649084496986094
6,2,"Wines, Gold, Meat",0.527671081189374
7,1,"Fish, Sweets",0.8134664841871059
8,1,"Wines, Gold, Fish",0.8475203026615769
9,3,"Wines, Meat, Fish",0.6127296794021169
10,1,"Wines, Meat, Sweets",0.6621357220433944
11,0,"Wines, Gold, Fruits",0.7608883810532567
12,3,"Fish, Fruits, Gold",0.674564551897441
13,1,"Wines, Gold, Meat",0.6986961444505911
14,0,"Meat, Fruits, Fish",0.724996029574534
15,3,"Wines, Gold, Meat",0.7973618831777045
16,1,Fruits,0.11620507136667861
17,2,"Fish, Sweets",0.7323052111484449
18,1,"Wines, Meat",0.6471403001871189
19,1,Fruits,0.3759091364828819
20,2,"Wines, Gold, Fish",0.11204829901674226
21,2,"Meat, Gold, Fish",0.4358296989903958
22,2,"Wines, Meat, Gold",0.3870704366141242
23,2,"Wines, Meat, Fruits",0.49367605661159497
24,1,"Wines, Gold, Fruits",0.5706565648144363
25,3,"Fish, Fruits, Meat",0.710278794062181
26,1,"Gold, Fruits",0.6464530005068798
27,0,"Fish, Gold",0.8200215250611829
28,1,"Wines, Meat, Gold",0.6442899454076966
29,1,No uplift product,0.21310636454169973
30,3,"Meat, Gold, Fruits",0.5490435421197757
31,2,"Wines, Meat, Gold",0.41107267837130734
32,0,"Wines, Gold, Fruits",0.6737512250285609
33,3,"Wines, Gold, Meat",0.7955244924236752
34,2,"Fish, Gold, Meat",0.6080699405711919
35,1,"Wines, Meat, Fruits",0.7337932297288354
36,1,"Meat, Gold, Fish",0.44141017970801016
37,0,"Meat, Wines, Fruits",0.5844454946611551
38,2,Wines,0.48283424004211123
39,1,"Wines, Gold, Fish",0.8442096281941053
40,3,"Wines, Meat, Gold",0.5688981962781194
41,1,"Wines, Meat, Fish",0.8166839901314029
42,0,"Wines, Meat, Sweets",0.6914146485149011
43,1,"Wines, Meat",0.5964490390963308
44,1,"Wines, Meat, Fish",0.7235738983559021
45,2,Gold,0.6695843374468813
46,2,"Wines, Gold, Meat",0.15428001764247434
47,0,"Fish, Gold, Fruits",0.765567262695947
48,1,"Wines, Gold, Meat",0.8021486060561076
49,0,"Wines, Sweets",0.8125203063135154
50,2,"Wines, Meat, Fish",0.48191446503715535
51,0,"Meat, Fruits",0.8472524596427378
52,0,"Wines, Gold, Fruits",0.8404358501175305
53,1,"Wines, Meat, Gold",0.7108780470980192
54,2,"Meat, Wines, Fish",0.399003132638353
55,0,"Sweets, Fruits, Fish",0.8101662638061079
56,2,"Meat, Wines, Gold",0.4078779176610238
57,2,"Meat, Fruits, Sweets",0.6904909901885226
58,2,"Meat, Gold, Fish",0.33953331579758156
59,0,"Wines, Meat, Gold",0.7096583199944612
60,1,"Wines, Meat, Fish",0.8232665201570027
61,3,"Wines, Meat, Gold",0.8288478042917917
62,0,"Meat, Fruits, Sweets",0.4572665142454304
63,2,"Wines, Fish, Meat",0.4547358614000497
64,2,Sweets,0.5345457132191458
65,0,"Wines, Gold, Fruits",0.7080453134294586
66,2,Wines,0.7620054372275151
67,2,"Meat, Gold, Fish",0.5021342002269199
68,1,"Wines, Meat, Gold",0.34988054993839596
69,1,"Wines, Meat, Gold",0.7952930318459711
70,0,"Gold, Sweets",0.7616696784017956
71,0,Gold,0.8956738112082389
72,1,"Wines, Meat, Fish",0.5828645328841895
73,2,"Meat, Fish, Sweets",0.13828672797890312
74,1,"Fish, Fruits, Sweets",0.6558499754142119
75,1,"Wines, Meat, Gold",0.795530553639643
76,1,"Wines, Meat, Sweets",0.7195291302547948
77,1,No uplift product,0.21310636454169973
78,0,"Wines, Fish, Fruits",0.703478661935679
79,3,"Wines, Meat, Gold",0.857093810362085
80,3,"Meat, Gold, Fish",0.8916184043781684
81,3,"Fish, Sweets",0.25864709490735416
82,0,"Wines, Fruits",0.8399222301189248
83,3,"Gold, Sweets, Fish",0.4667267929464486
84,1,"Wines, Meat, Gold",0.7974234112014402
85,1,"Gold, Meat, Fish",0.6970615452233235
86,1,"Wines, Meat, Gold",0.7767037326084439
87,2,"Meat, Fish, Sweets",0.5473645264260263
88,3,"Wines, Meat, Gold",0.7698928291528035
89,0,"Wines, Sweets, Fruits",0.6288614914202139
90,1,Gold,0.1455627191018672
91,1,"Meat, Gold, Fish",0.41413923679603915
92,1,"Meat, Gold, Fish",0.48373614144440974
